,step,n_step,ae_model_type,codebook_size,env_name,filter_size,final_latent_dim,latent_dim,experiment_key,goal_state_distrib_kl_div,goal_delayed_state_distrib_kl_div,goal_uniform_distrib_kl_div,explore_right_state_distrib_kl_div,explore_right_delayed_state_distrib_kl_div,explore_right_uniform_distrib_kl_div
32,1,1,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,0.013813238590955734,-3.2975943753399406E-8,5.214484691619873,,,
33,2,2,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,0.031245991587638855,9.948359489440918,4.824257850646973,,,
34,3,3,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,0.10984352976083755,8.261832237243652,4.583188056945801,,,
35,4,4,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,5.325493812561035,5.553465366363525,4.410275936126709,,,
36,5,5,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,9.442293167114258,4.675449848175049,4.25632381439209,,,
37,6,6,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,9.890788078308105,4.278069496154785,4.131308078765869,,,
38,7,7,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,11.686931610107422,3.839041233062744,4.022337913513184,,,
39,8,8,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,9.116605758666992,2.996077537536621,3.902053117752075,,,
40,9,9,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,6.616950511932373,2.670072317123413,3.754103899002075,,,
41,10,10,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,7.961515426635742,2.382275342941284,3.607405662536621,,,
42,11,11,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,9.675018310546875,1.9763329029083252,3.5106945037841797,,,
43,12,12,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,11.439382553100586,1.7221128940582275,3.469259023666382,,,
44,13,13,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,12.826814651489258,0.9794120192527771,3.475034475326538,,,
45,14,14,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,13.687867164611816,0.6294719576835632,3.507413864135742,,,
46,15,15,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,14.115200996398926,0.5159118175506592,3.5181944370269775,,,
47,16,16,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,13.936615943908691,0.08368639647960663,3.542522430419922,,,
48,17,17,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,13.85081672668457,0.05937465280294418,3.6159842014312744,,,
49,18,18,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,14.562952041625977,0.04707779735326767,3.7291111946105957,,,
50,19,19,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,13.207850456237793,0.0376061387360096,3.8727519512176514,,,
51,20,20,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,14.026403427124023,0.031317003071308136,4.055161476135254,,,
52,21,21,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,14.70535945892334,0.024281304329633713,4.248812198638916,,,
53,22,22,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,15.238234519958496,0.02477777563035488,4.444065570831299,,,
54,23,23,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,15.710875511169434,0.01776871085166931,4.638254165649414,,,
55,24,24,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,15.581047058105469,0.018604129552841187,4.8197922706604,,,
56,25,25,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,15.53816032409668,0.015962541103363037,4.983548641204834,,,
57,26,26,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,16.549875259399414,0.015916822478175163,5.131689548492432,,,
58,27,27,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,16.426593780517578,0.015015020966529846,5.262822151184082,,,
59,28,28,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,7.011309623718262,0.012370595708489418,5.36965274810791,,,
60,29,29,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,7.232558727264404,0.006957567296922207,5.466979503631592,,,
61,30,30,ae,None,minigrid-door-key-stochastic,8,1024,1024,a848c94ddc6c47d78c1bea6fa5baa8e6,6.480592250823975,0.00873125996440649,5.54659366607666,,,
62,0,0,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,,,,,,
63,1,1,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,0.005746990442276001,-3.2975943753399406E-8,5.214484691619873,,,
64,2,2,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,0.022975433617830276,9.948359489440918,4.824257850646973,,,
65,3,3,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,0.18017083406448364,8.261832237243652,4.583188056945801,,,
66,4,4,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,5.488431930541992,5.553465366363525,4.410275936126709,,,
67,5,5,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,9.645925521850586,4.675449848175049,4.25632381439209,,,
68,6,6,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,12.61402702331543,4.278069496154785,4.131308078765869,,,
69,7,7,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,14.298078536987305,3.839041233062744,4.022337913513184,,,
70,8,8,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,14.289119720458984,2.996077537536621,3.902053117752075,,,
71,9,9,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.030717849731445,2.670072317123413,3.754103899002075,,,
72,10,10,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,14.94628620147705,2.382275342941284,3.607405662536621,,,
73,11,11,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.381355285644531,1.9763329029083252,3.5106945037841797,,,
74,12,12,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.359102249145508,1.7221128940582275,3.469259023666382,,,
75,13,13,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.000164031982422,0.9794120192527771,3.475034475326538,,,
76,14,14,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,14.925724029541016,0.6294719576835632,3.507413864135742,,,
77,15,15,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.143522262573242,0.5159118175506592,3.5181944370269775,,,
78,16,16,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.310019493103027,0.08368639647960663,3.542522430419922,,,
79,17,17,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.206528663635254,0.05937465280294418,3.6159842014312744,,,
80,18,18,ae,None,minigrid-door-key-stochastic,8,1024,1024,2bbe39782c744fed8cfb5a0f7320f9b9,15.56761646270752,0.04707779735326767,3.7291111946105957,,,
